date,user,bedtime,in_experimental_group,intended_bedtime,fitness,adherence_importance,rise_reason,risetime
"2015-06-11","36",2015-06-12 00:19:42.744,False,2015-06-11 23:45:00,58.0,30.0,True,2015-06-11 08:00:00
"2015-06-11","30",2015-06-12 00:01:33.794,False,2015-06-11 23:15:00,47.0,91.0,True,2015-06-11 06:30:00
"2015-06-11","37",2015-06-12 00:52:52.772,False,2015-06-11 23:30:00,10.0,57.0,True,2015-06-11 08:05:00
"2015-06-11","31",2015-06-12 02:48:44.174,False,2015-06-12 00:30:00,20.0,23.0,True,2015-06-11 08:25:00
"2015-06-11","1",,False,2015-06-12 01:00:00,79.0,42.0,True,2015-06-11 10:30:00
"2015-06-11","10",2015-06-11 23:01:05.491,True,2015-06-11 23:00:00,37.0,100.0,True,2015-06-11 09:00:00
"2015-06-11","22",2015-06-11 23:55:44.697,True,2015-06-11 23:00:00,81.0,31.0,False,2015-06-11 09:45:00
"2015-06-11","32",2015-06-12 00:32:50.886,False,2015-06-12 00:00:00,75.0,80.0,True,2015-06-11 09:00:00
"2015-06-11","20",2015-06-12 00:26:17.976,True,2015-06-11 23:00:00,55.0,88.0,True,2015-06-11 07:10:00
"2015-06-11","12",2015-06-12 00:26:15.337,True,2015-06-11 23:30:00,58.0,64.0,True,2015-06-11 07:15:00
"2015-06-11","18",2015-06-11 23:13:24.517,True,2015-06-11 23:30:00,71.0,35.0,True,2015-06-11 07:00:00
"2015-06-11","34",2015-06-12 01:05:20.510,False,2015-06-11 22:30:00,27.0,47.0,True,2015-06-11 07:00:00
"2015-06-11","26",,True,2015-06-12 00:00:00,59.0,59.0,True,2015-06-11 07:00:00
"2015-06-12","20",,True,2015-06-12 23:30:00,55.0,52.0,True,2015-06-12 06:45:00
"2015-06-12","30",2015-06-12 07:34:17.835,False,2015-06-12 23:00:00,69.0,71.0,False,2015-06-12 06:15:00
"2015-06-12","34",,False,2015-06-12 22:30:00,22.0,55.0,True,2015-06-12 07:30:00
"2015-06-12","37",,False,2015-06-13 00:00:00,21.0,8.0,False,2015-06-12 06:20:00
"2015-06-12","1",,False,2015-06-13 00:00:00,15.0,100.0,True,2015-06-12 08:00:00
